Id,TYPEOP,CJGL,SYY0,YYZY,YYJL,YYJZ,YYFZ,SCZY,SCJL,SCZJ,SCFZ,CWZY,CWJL,CWZJ,CWFZ,RSZY,RSJL,ZJL0,DETAILS
47,JJBB_DWL,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,交接报表_下
48,SPGL_NEW,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,商品管理_增
49,SPGL_DEL,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,商品管理_删
50,SPGL_MOD,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,商品管理_改
51,SPGL_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,商品管理_查
52,YGGL_NEW,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,员工管理_增
53,YGGL_DEL,,,,,,,,,,,,,,,,,,员工管理_删
54,YGGL_QRY,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,员工管理_查
55,JSGL_NEW,TRUE,,,,,,,,,,,,,,,,,角色管理_增
56,JSGL_DEL,TRUE,,,,,,,,,,,,,,,,,角色管理_删
57,JSGL_MOD,TRUE,,,,,,,,,,,,,,,,,角色管理_改
58,JSGL_QRY,TRUE,,,,,,,,,,,,,,,,,角色管理_查
59,BMGL_NEW,TRUE,,,,,,,,,,,,,,,,,部门管理_增
60,BMGL_DEL,TRUE,,,,,,,,,,,,,,,,,部门管理_删
61,BMGL_MOD,TRUE,,,,,,,,,,,,,,,,,部门管理_改
62,BMGL_QRY,TRUE,,,,,,,,,,,,,,,,,部门管理_查
63,XTRZ_QRY,TRUE,,,,,,,,,,,,,,,,,系统日志_查
